symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
INDOTHAI,2025-05-28,2025-05-28,179.562744140625,2025-06-04,180.3023223876953,0.004118773360308584,4.118773360308584,1000.0,
JSWHL,2025-06-03,2025-06-03,22320.0,2025-06-10,22695.0,0.016801075268817203,16.801075268817204,1000.0,
CHOLAFIN,2025-06-04,2025-06-04,1512.01953125,2025-06-11,1607.4765625,0.06313214166690348,63.13214166690348,1000.0,
CHOLAFIN,2025-06-05,2025-06-05,1510.9200439453125,2025-06-12,1580.9884033203125,0.04637463091166465,46.374630911664646,1000.0,
JPOLYINVST,2025-06-16,2025-06-16,828.0999755859375,2025-06-23,896.9000244140625,0.08308181482488784,83.08181482488784,1000.0,
GABRIEL,2025-06-23,2025-06-23,589.7139282226562,2025-06-30,699.3516845703125,0.18591685069758213,185.91685069758213,1000.0,
KITEX,2025-06-23,2025-06-23,250.9764862060547,2025-06-30,280.5970153808594,0.11802113266692991,118.02113266692992,1000.0,
LTFOODS,2025-06-23,2025-06-23,403.8942565917969,2025-06-30,484.4042663574219,0.19933437639098175,199.33437639098176,1000.0,
KILITCH,2025-06-24,2025-06-24,418.75,2025-07-01,441.75,0.05492537313432836,54.92537313432836,1000.0,
GOLDETF,2025-06-27,2025-06-27,93.7300033569336,2025-07-04,95.2300033569336,0.01600341348850532,16.00341348850532,1000.0,
ASTRAMICRO,2025-07-01,2025-07-01,1022.8580322265625,2025-07-08,1041.916259765625,0.018632329158697083,18.632329158697083,1000.0,
RADICO,2025-07-02,2025-07-02,2515.35205078125,2025-07-09,2672.02490234375,0.062286649502537254,62.28664950253725,1000.0,
SVLL,2025-07-07,2025-07-07,685.2999877929688,2025-07-14,706.0,0.03020576765760105,30.20576765760105,1000.0,
KRISHANA,2025-07-08,2025-07-08,425.6922607421875,2025-07-15,481.89501953125,0.13202673379843435,132.02673379843435,1000.0,
KILITCH,2025-07-09,2025-07-09,412.1798400878906,2025-07-16,459.29998779296875,0.11431938955343018,114.31938955343018,1000.0,
BEL,2025-07-18,2025-07-18,393.8363342285156,2025-07-25,394.2853088378906,0.001140003017381559,1.140003017381559,1000.0,
SOUTHBANK,2025-07-21,2025-07-21,28.690448760986328,2025-07-28,29.20348358154297,0.017881728683668153,17.881728683668154,1000.0,
DIVISLAB,2025-07-22,2025-07-22,6583.02490234375,2025-07-29,6676.5,0.014199414257565716,14.199414257565715,1000.0,
MFSL,2025-07-24,2025-07-24,1525.800048828125,2025-07-31,1501.4000244140625,-0.015991626447254794,-15.991626447254793,1000.0,
CEMPRO,2025-07-24,,,,,,,1000.0,no price data
